RKY,DATE,TIME,RACE,SEX,AGE,RESISTANCE_LEVEL,FORCE_LEVEL,PHYSICAL,F6INONE,PRESSURE_POINT,COME_ALONG,ACTIVE_COUNTERMEASURE,SHOULDER_PIN,OC_SPRAY,FIREARM,HANDCUFFS,BATON,TASER,K_9,OFFICER_INJURED_NO_MED_REQ,OFFICER_INJURED_MED_REQ,SUSPECT_OINJURED_NO_MED,SUSPECT_INJURED_MED_REQ,FID,ObjectId
C0-002262,2020/01/08 00:00:00+00,2153,W,M,44,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,97
C0-002262,2020/01/08 00:00:00+00,2153,W,M,44,E,G,,,,X,,,,,X,,X,,N,,Y,Y,,98
C0-001696,2020/01/06 00:00:00+00,2358,W,M,24,D,C,,,X,X,,,,,X,,,,Y,N,Y,N,,99
C0-001269,2020/01/05 00:00:00+00,1156,W,M,34,E,D,,,,X,,,,,X,,,,Y,N,N,,,100
C0-056300,2020/06/23 00:00:00+00,2028,W,M,39,D,C,,,,X,,,,,X,,,,N,,N,N,,101
C0-056005,2020/06/23 00:00:00+00,1701,B,M,57,D,C,,,,X,,,,,X,,,,Y,N,Y,Y,,102
C0-055579,2020/06/21 00:00:00+00,1908,W,M,39,D,G,,,,,,,,,X,,X,,N,,N,Y,,103
C0-052709,2020/06/13 00:00:00+00,252,B,F,49,E,D,,,,X,,,,,X,,,,N,,Y,N,,104
C0-052709,2020/06/13 00:00:00+00,252,B,M,51,E,D,,,,X,,,,,X,,,,Y,Y,Y,Y,,105
C0-052709,2020/06/13 00:00:00+00,252,B,M,51,E,G,,,,,,,,,X,,X,,Y,Y,N,Y,,106
C0-052689,2020/06/13 00:00:00+00,139,W,M,22,E,D,,,,,,,X,,X,,,,N,,Y,N,,107
C0-052689,2020/06/13 00:00:00+00,139,W,M,21,E,D,,,,,,,X,,X,,,,N,,N,,,108
C0-051372,2020/06/08 00:00:00+00,2235,W,M,54,E,G,,,,,,,,,X,,X,,N,,N,Y,,109
C0-051083,2020/06/08 00:00:00+00,230,W,M,18,E,D,,,,X,,,,,X,,,,Y,Y,Y,Y,,110
C0-051082,2020/06/08 00:00:00+00,230,W,M,18,E,D,,,,X,,,,,X,,,,Y,N,Y,Y,,111
C0-048868,2020/06/02 00:00:00+00,15,,,0,E,D,,,,,,,X,,,,,,N,,N,N,,112
