Event,District,Nature,How Received,Date,Physical Contact,Less Lethal,Launch Projectile,Drew Less Lethal,Draw Weapon,Taser Pointed,Taser Fired,Weapon Fired,Vehicle Pursuit,Foot Pursuit,Suspect Condition,Suspect Armed,Suspect Injured,Suspect Role,Officer Injured,Officer Exposed to BBP,Suspect Gender Female,Suspect Gender Male,Suspect Age,"Suspect Race White, Non-Hispanic","Suspect Race White, Hispanic","Suspect Race AA, Non-Hispanic","Suspect Race AA, Hispanic","Suspect Race Indian/Alaskan Native, Non-Hispanic","Suspect Race Indian/Alaskan Native, Hispanic","Suspect Race Asian/Pacific Islander, Non-Hispanic","Suspect Race Asian/Pacific Islander, Hispanic"
B16-15786,5,Traffic Stop,Officer Report,04/26/2016 12:26:00 AM,true,false,false,false,false,,,false,false,false,Normal,false,false,Arrestee,false,false,,true,26,true,,,,,,,
B16-15796,3,Suspicious Activity,911 Line,04/26/2016 02:30:00 AM,false,false,false,false,true,,,false,false,true,Normal,false,false,Arrestee,false,false,,true,24,true,,,,,,,
B16-15911,1,Welfare Check,Telephone,04/26/2016 10:34:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,true,Arrestee,false,true,,true,23,,,,,,,true,
B16-16042,4,Disturbance,911 Line,04/27/2016 11:51:00 PM,true,false,false,false,false,,,false,false,false,Unknown,false,false,Arrestee,false,false,,true,66,true,,,,,,,
B16-16111,,CIRT,Telephone,04/28/2016 04:24:00 PM,false,false,false,false,false,,,false,false,false,Unknown,true,false,Arrestee,false,false,true,,20,true,,,,,,,
B16-16111,,CIRT,Telephone,04/28/2016 04:24:00 PM,false,false,false,false,false,,,false,false,false,Unknown,true,false,Involved,false,false,,true,25,true,,,,,,,
B16-16111,,CIRT,Telephone,04/28/2016 04:24:00 PM,false,false,false,false,false,,,false,false,false,Unknown,true,false,Arrestee,false,false,,true,26,true,,,,,,,
B16-16173,5,Robbery,Telephone,04/28/2016 11:40:00 PM,false,false,false,false,true,,,false,false,false,Normal,true,false,Mentioned,false,false,,true,40,,,true,,,,,
B16-16189,3,Theft,Telephone,04/29/2016 03:15:00 AM,false,false,false,false,true,,,false,false,false,Intoxicated,false,false,Arrestee,false,false,,true,23,true,,,,,,,
B16-16428,5,Fight,Telephone,04/30/2016 07:40:00 PM,true,false,false,false,false,,,false,false,false,Intoxicated,false,false,Arrestee,true,false,,true,25,,,true,,,,,
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,true,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,true,,16,true,,,,,,,
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,true,,15,true,,,,,,,
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,true,,15,true,,,,,,,
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,false,false,false,false,true,,,false,false,false,Normal,false,false,Juvenile Referral,false,false,true,,16,true,,,,,,,
B16-16495,3,Burglary,911 Line,05/01/2016 03:50:00 AM,false,true,false,false,true,,,false,false,false,Normal,false,true,Juvenile Referral,false,true,,true,16,true,,,,,,,
